SIRT6,1252,258,2068,147,515,30,126,13,65,9,61,11,52,5
CCL19,1252,7,2068,10,515,2,126,3,65,2,61,14,52,1
MIR3121,1252,0,2068,0,515,0,126,0,65,0,61,0,52,0
PPIL1,1252,542,2068,147,515,36,126,11,65,8,61,12,52,2
GBP7,1252,50,2068,121,515,10,126,16,65,1,61,0,52,1
STK17A,1252,305,2068,894,515,255,126,21,65,6,61,27,52,25
OR9G1,1252,9,2068,17,515,2,126,0,65,0,61,1,52,0
ABR,1252,597,2068,416,515,50,126,55,65,19,61,21,52,10
PCDHA13,1252,5,2068,2,515,2,126,0,65,1,61,0,52,0
FOXE1,1252,7,2068,19,515,2,126,0,65,0,61,0,52,0
SIAH3,1252,81,2068,285,515,54,126,20,65,3,61,3,52,15
RIMBP3B,1252,16,2068,50,515,7,126,3,65,1,61,2,52,0
GML,1252,3,2068,7,515,0,126,1,65,0,61,0,52,0
CNGA3,1252,2,2068,4,515,2,126,1,65,1,61,0,52,0
CD38,1252,48,2068,590,515,67,126,57,65,6,61,5,52,18
ZDHHC6,1252,381,2068,486,515,111,126,28,65,19,61,26,52,9
NEFH,1252,60,2068,42,515,7,126,3,65,2,61,2,52,0
PGBD5,1252,19,2068,8,515,0,126,8,65,1,61,1,52,0
CTDSP2,1252,737,2068,426,515,82,126,41,65,31,61,41,52,8
ZNF257,1252,78,2068,180,515,49,126,8,65,4,61,5,52,5
RMND5B,1252,336,2068,183,515,48,126,18,65,10,61,19,52,2
CCNY,1252,284,2068,225,515,41,126,33,65,27,61,14,52,4
EXOSC7,1252,615,2068,286,515,65,126,23,65,13,61,22,52,10
C11orf88,1252,15,2068,31,515,8,126,6,65,2,61,1,52,2
ROR2,1252,7,2068,15,515,1,126,1,65,0,61,14,52,0
LOC338758,1252,150,2068,204,515,90,126,63,65,8,61,9,52,6
MAOA,1252,173,2068,16,515,1,126,2,65,15,61,2,52,1
TNNT3,1252,0,2068,23,515,1,126,0,65,0,61,10,52,1
GYPC,1252,1088,2068,994,515,188,126,56,65,44,61,33,52,21
MIR3120,1252,0,2068,0,515,0,126,0,65,0,61,0,52,0
C7orf33,1252,0,2068,8,515,0,126,0,65,1,61,0,52,0
AP4B1-AS1,1252,563,2068,1383,515,330,126,74,65,33,61,25,52,31
RNF4,1252,698,2068,884,515,169,126,56,65,31,61,37,52,14
EMC1,1252,1084,2068,1763,515,437,126,115,65,51,61,47,52,47
F8A1,1252,104,2068,96,515,15,126,8,65,2,61,4,52,1
HDAC7,1252,285,2068,596,515,112,126,24,65,41,61,37,52,16
PLEKHG4,1252,315,2068,74,515,5,126,3,65,3,61,13,52,1
GRB2,1252,1117,2068,1570,515,457,126,117,65,50,61,51,52,40
LINC00597,1252,9,2068,6,515,4,126,2,65,0,61,1,52,0
AGPHD1,1252,114,2068,30,515,1,126,0,65,2,61,2,52,0
HIST1H2AD,1252,107,2068,119,515,27,126,10,65,0,61,1,52,1
DUS3L,1252,436,2068,221,515,61,126,15,65,11,61,13,52,6
EIF1,1252,1250,2068,1999,515,493,126,123,65,63,61,60,52,47
FPGT,1252,371,2068,95,515,19,126,18,65,6,61,9,52,1
CHST15,1252,46,2068,23,515,57,126,53,65,29,61,14,52,0
MIR4442,1252,0,2068,1,515,0,126,0,65,0,61,0,52,0
GPN2,1252,381,2068,184,515,22,126,18,65,10,61,16,52,3
GDF10,1252,6,2068,19,515,0,126,0,65,3,61,5,52,0
COQ9,1252,599,2068,225,515,42,126,17,65,17,61,25,52,6
TRAPPC9,1252,449,2068,402,515,79,126,25,65,17,61,12,52,9
MIR101-2,1252,0,2068,0,515,0,126,0,65,0,61,0,52,0
DKFZP434I0714,1252,104,2068,44,515,7,126,2,65,2,61,4,52,0
GCC2,1252,868,2068,1027,515,203,126,47,65,29,61,31,52,15
RARRES3,1252,263,2068,1275,515,81,126,49,65,23,61,23,52,37
PLXNA1,1252,896,2068,111,515,12,126,42,65,14,61,27,52,2
KIAA0100,1252,622,2068,412,515,101,126,40,65,28,61,30,52,15
PMF1,1252,592,2068,591,515,91,126,39,65,22,61,26,52,8
FNDC1,1252,6,2068,26,515,6,126,1,65,0,61,22,52,0
HS2ST1,1252,474,2068,194,515,53,126,25,65,18,61,18,52,4
CRELD2,1252,581,2068,249,515,46,126,28,65,18,61,31,52,7
CD82,1252,859,2068,1702,515,444,126,110,65,44,61,37,52,37
C8G,1252,8,2068,7,515,0,126,0,65,0,61,1,52,0
SPINK14,1252,0,2068,0,515,0,126,0,65,0,61,0,52,0
PIRT,1252,3,2068,11,515,0,126,0,65,0,61,0,52,0
LIM2,1252,1,2068,8,515,1,126,0,65,0,61,0,52,3
MIR193A,1252,0,2068,0,515,0,126,0,65,0,61,0,52,0
MMP16,1252,222,2068,23,515,1,126,0,65,7,61,5,52,0
MIMT1,1252,2,2068,0,515,0,126,0,65,0,61,0,52,0
LOC100133091,1252,224,2068,147,515,27,126,6,65,1,61,2,52,3
DRD3,1252,3,2068,12,515,1,126,1,65,1,61,0,52,1
PTP4A2,1252,958,2068,1140,515,190,126,87,65,35,61,39,52,26
OR4M2,1252,6,2068,5,515,1,126,2,65,0,61,0,52,0
C11orf73,1252,703,2068,411,515,87,126,28,65,27,61,30,52,10
HPCA,1252,5,2068,2,515,1,126,0,65,1,61,0,52,0
SEC14L1,1252,683,2068,387,515,93,126,60,65,37,61,21,52,19
METTL25,1252,151,2068,122,515,35,126,9,65,5,61,11,52,2
NME8,1252,7,2068,19,515,1,126,11,65,2,61,0,52,4
EMILIN1,1252,55,2068,7,515,4,126,2,65,10,61,33,52,0
CHFR,1252,379,2068,565,515,67,126,41,65,22,61,15,52,11
NDUFS4,1252,708,2068,284,515,73,126,38,65,19,61,32,52,2
TP53TG3C,1252,238,2068,19,515,1,126,2,65,0,61,3,52,0
COL18A1,1252,407,2068,86,515,8,126,10,65,47,61,21,52,1
PDZD3,1252,0,2068,5,515,0,126,0,65,0,61,0,52,0
PRAMEF7,1252,4,2068,4,515,2,126,0,65,0,61,0,52,0
MIR591,1252,1,2068,0,515,0,126,0,65,0,61,0,52,0
FAXC,1252,202,2068,41,515,12,126,2,65,1,61,3,52,0
C9orf16,1252,949,2068,873,515,125,126,54,65,28,61,31,52,24
ERBB2IP,1252,841,2068,816,515,174,126,55,65,33,61,32,52,19
FUS,1252,1161,2068,1840,515,461,126,122,65,60,61,56,52,45
EMX2,1252,71,2068,96,515,21,126,4,65,2,61,15,52,1
TF,1252,290,2068,43,515,5,126,3,65,3,61,0,52,0
CXorf56,1252,994,2068,1857,515,459,126,112,65,48,61,45,52,46
CLCN4,1252,137,2068,22,515,31,126,2,65,10,61,7,52,0
NPR1,1252,13,2068,12,515,4,126,1,65,23,61,9,52,1
ELAC2,1252,523,2068,423,515,99,126,39,65,22,61,29,52,7
CELA1,1252,0,2068,5,515,3,126,0,65,0,61,0,52,0
ASS1,1252,72,2068,170,515,24,126,3,65,23,61,17,52,3
USP42,1252,389,2068,382,515,51,126,21,65,7,61,15,52,9
RNU6-33,1252,0,2068,0,515,0,126,0,65,0,61,0,52,0
EMC8,1252,424,2068,203,515,27,126,25,65,12,61,26,52,2
SEC23IP,1252,714,2068,1284,515,292,126,86,65,44,61,40,52,30
POLR2J,1252,1019,2068,748,515,167,126,65,65,25,61,36,52,23
UQCRC1,1252,1078,2068,622,515,140,126,88,65,31,61,43,52,22
LOC729603,1252,712,2068,1550,515,365,126,94,65,32,61,28,52,38
ERVV-2,1252,3,2068,7,515,2,126,0,65,0,61,0,52,0
POLG,1252,479,2068,455,515,84,126,33,65,10,61,24,52,15
ADAM23,1252,82,2068,26,515,3,126,0,65,10,61,2,52,0
MIR4641,1252,0,2068,0,515,0,126,0,65,0,61,0,52,0
TFR2,1252,19,2068,44,515,7,126,0,65,1,61,1,52,1
RICTOR,1252,626,2068,828,515,173,126,40,65,23,61,30,52,17
GRXCR2,1252,0,2068,2,515,1,126,0,65,0,61,0,52,0
FLJ42709,1252,314,2068,440,515,89,126,40,65,25,61,21,52,12
SNORD105,1252,0,2068,5,515,0,126,1,65,0,61,0,52,0
IDO2,1252,4,2068,5,515,2,126,4,65,0,61,0,52,0
HLA-J,1252,722,2068,1582,515,275,126,114,65,40,61,31,52,31
C19orf55,1252,242,2068,199,515,45,126,9,65,6,61,12,52,4
FONG,1252,58,2068,15,515,8,126,8,65,1,61,1,52,0
SNAPC1,1252,691,2068,1156,515,282,126,71,65,35,61,36,52,29
GNA11,1252,168,2068,16,515,4,126,3,65,8,61,13,52,0
LOC654342,1252,453,2068,43,515,5,126,10,65,12,61,23,52,1
FSIP1,1252,20,2068,20,515,0,126,2,65,1,61,7,52,0
CELA3A,1252,0,2068,3,515,0,126,0,65,0,61,0,52,1
UPF3A,1252,502,2068,417,515,121,126,37,65,32,61,27,52,15
